name,x_pdf,y_pdf,lat,lng
point_1,327.6,515.2,53.43732272221278,-113.46662591204776
point_2,213.2,505.5,53.44430839149413,-113.60041549581634
point_3,302.5,453.6,53.48047005350478,-113.49541181662379
point_4,200.6,408.1,53.512416947471486,-113.61527200161731
point_5,390.3,401.2,53.51699627476277,-113.39405273063117
point_6,295.6,399.4,53.51806346954401,-113.49766220964612
point_7,250.0,308.6,53.58110039127623,-113.55708387270343
point_8,305.8,308.6,53.58142519056278,-113.49221160631056
point_9,399.1,317.9,53.57496128140047,-113.38333212023072
point_10,212.6,256.7,53.61688274089538,-113.60125039892503
point_11,306.2,214.2,53.646847935108966,-113.49212177986564
point_12,389.1,230.4,53.635201054783735,-113.3940225121275
